Children per woman,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.699,7.697,7.695,7.693,7.692,7.695,7.701,7.711,7.725,7.742,7.763,7.785,7.807,7.829,7.85,7.871,7.893,7.915,7.937,7.96,7.984,8.01,8.034,8.052,8.058,8.043,8.004,7.938,7.846,7.729,7.59,7.438,7.28,7.123,6.973,6.835,6.711,6.601,6.505
Albania,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,3.3634,,,,,,4.5962,3.7386,4.1942,3.752,4.4086,,,,,,,,5.304,5.389,5.547,5.682,5.793,5.88,5.943,5.982,5.997,5.987,5.951,5.891,5.808,5.704,5.586,5.458,5.329,5.202,5.083,4.972,4.873,4.785,4.704,4.625,4.543,4.454,4.351,4.231,4.095,3.947,3.793,3.642,3.503,3.382,3.282,3.202,3.138,3.084,3.032,2.979,2.925,2.869,2.814,2.76,2.705,2.645,2.577,2.5,2.413,2.318,2.222,2.131,2.049,1.982,1.931,1.896,1.876,1.864,1.858,1.854
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.309,7.298,7.28,7.267,7.261,7.261,7.266,7.276,7.292,7.31,7.329,7.348,7.364,7.376,7.384,7.388,7.39,7.392,7.394,7.396,7.398,7.398,7.394,7.384,7.364,7.332,7.284,7.22,7.138,7.035,6.909,6.757,6.58,6.38,6.161,5.928,5.686,5.441,5.195,4.954,4.713,4.468,4.216,3.957,3.697,3.446,3.214,3.012,2.845,2.715,2.621,2.558,2.515,2.483,2.457,2.433,2.409,2.385,2.363,2.342
Angola,6.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.02,,,,,,,,,,,,,,,,,,,,,,,,,6.925,6.943,6.98,7.018,7.058,7.099,7.142,7.187,7.231,7.275,7.316,7.354,7.385,7.41,7.425,7.43,7.422,7.403,7.375,7.339,7.301,7.264,7.232,7.208,7.192,7.185,7.186,7.189,7.194,7.197,7.2,7.201,7.203,7.205,7.207,7.208,7.206,7.202,7.194,7.182,7.165,7.144,7.12,7.093,7.063,7.03,6.997,6.963,6.925,6.882,6.825,6.749,6.648,6.523,6.378,6.219,6.057,5.902,5.761,5.637
Argentina,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,6.8,,,6.5794,,,,,6.566,,,,,6.5526,,,,,6.1372,,,,,5.896,,,7,,5.963,,,,,5.9362,,,,,5.6414,,,,,5.2528,,5.3,,,,,,,,,,,,,4.355,,,,,3.886,,,,,3.4438,,,,,3.417,,,,,3.2,,,3.164,3.162,3.157,3.152,3.146,3.141,3.136,3.13,3.124,3.117,3.109,3.1,3.089,3.078,3.068,3.058,3.051,3.048,3.049,3.056,3.073,3.104,3.148,3.203,3.264,3.321,3.366,3.391,3.391,3.368,3.325,3.27,3.213,3.163,3.123,3.093,3.073,3.056,3.037,3.016,2.989,2.956,2.918,2.875,2.827,2.774,2.717,2.657,2.596,2.535,2.477,2.425,2.379,2.341,2.311,2.288,2.269,2.254,2.239,2.223
Armenia,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,,,,,,,,,,5.5208,4.556,3.3366,1.8224,1.742,2.3852,3.5778,4.1004,3.6314,4.0468,4.525,4.512,4.492,4.481,4.481,4.49,4.506,4.527,4.548,4.559,4.55,4.512,4.435,4.317,4.161,3.979,3.788,3.606,3.447,3.314,3.208,3.118,3.032,2.942,2.846,2.745,2.646,2.555,2.479,2.421,2.385,2.373,2.381,2.406,2.441,2.481,2.519,2.549,2.566,2.565,2.538,2.482,2.399,2.295,,1.8,1.8,1.7,1.5,1.4,1.3,1.2,1.4,1.4,1.4,1.4,1.3,1.732,1.739,1.748
Aruba,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.64,,,,,,,,,,,,,,,,,,,,5.801,5.767,5.695,5.616,5.53,5.436,5.334,5.223,5.102,4.969,4.82,4.655,4.471,4.271,4.059,3.842,3.625,3.417,3.226,3.054,2.908,2.788,2.691,2.613,2.552,2.506,2.472,2.446,2.425,2.408,2.392,2.377,2.364,2.353,2.342,2.331,2.319,2.305,2.289,2.269,2.246,2.219,2.19,2.159,2.126,2.091,2.055,2.017,1.977,1.938,1.901,1.865,1.833,1.804,1.781,1.762,1.748,1.739,1.734,1.732
Australia,6.502,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,4.9446,5.0116,4.7034,5.025,4.8642,5.3198,5.1858,5.628,5.7084,5.7486,5.7084,5.6682,5.8022,5.5878,5.7486,5.6414,5.3332,5.4136,5.427,5.1858,5.1858,5.092,4.9714,5.0116,4.9312,4.8106,4.8106,4.69,4.7436,4.7972,4.7302,4.7302,4.623,4.6632,4.7704,4.7838,4.7436,4.7704,4.757,4.6498,4.69,4.623,4.5158,4.3952,4.1272,4.0736,3.8056,3.7788,3.6448,3.6582,3.6582,3.6448,3.5778,3.3902,3.5376,3.5108,3.35,3.35,3.35,3.35,3.35,3.51,3.51,3.51,3.51,3.51,3.07,3.07,3.07,3.07,3.07,3.119,3.106,3.016,2.972,2.95,2.848,2.8,2.768,2.635,2.581,2.359,2.187,2.166,2.107,2.115,2.178,2.208,2.205,2.222,2.256,2.364,2.375,2.569,2.63,2.736,2.986,3.076,2.985,2.986,3.067,3.059,3.181,3.193,3.191,3.275,3.33,3.421,3.421,3.44,3.451,3.548,3.431,3.343,3.154,2.973,2.885,2.847,2.886,2.887,2.859,2.945,2.743,2.491,2.321,2.148,2.06,2.007,1.949,1.907,1.891,1.935,1.929,1.924,1.84,1.923,1.868,1.845,1.831,1.838,1.902,1.849,1.888,1.859,1.842,1.822,1.796,1.778,1.762,1.755,1.756,1.729,1.756,1.748,1.763,1.791,1.817,1.817,1.83,1.84
Austria,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,,,,,4.646783472,4.751161924,4.832102949,4.797973421,4.814638985,4.917859074,4.72468351,4.60919057,4.613537906,4.624742886,4.545775506,4.559441511,4.511448079,4.579143585,4.492901452,4.50597619,4.485163306,4.432299057,4.439935658,4.239803133,4.477422108,4.310456286,4.360117131,4.335755372,4.404028451,4.399853006,4.332166989,4.349277442,4.349391209,4.325746091,4.337255327,4.345791212,4.127854705,4.167901461,3.98771432,4.007593786,3.893426351,3.833877471,3.797349405,3.687148896,3.497870685,3.502921698,3.333705837,,,,,,2.5496028,3.137438248,3.209340013,3.193663044,3.100078095,2.99156558,2.850101996,2.66159441,2.474457933,2.426522903,2.322056617,2.320808742,2.190029551,2.100273024,1.9729598,1.872020455,1.811568988,1.803625523,1.54,1.918354053,2.86103015,,,,,,1.88,,,,,1.893,1.941,2.035,2.128,2.218,2.307,2.394,2.478,2.557,2.628,2.69,2.738,2.769,2.781,2.771,2.7,2.6598,2.6192,2.5839,2.4857,2.2906,2.1985,2.084,1.9366,1.906,1.8256,1.6872,1.6299,1.6034,1.5977,1.6512,1.6734,1.6608,1.5592,1.5225,1.4744,1.4495,1.4318,1.4473,1.4459,1.4577,1.5074,1.5051,1.5012,1.4651,1.4231,1.4453,1.3919,1.3694,1.3395,1.3635,1.3292,1.3938,1.3777,1.4191,1.4067,1.4054,1.379,1.385,1.386
Azerbaijan,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,5.644,5.593,5.505,5.443,5.405,5.393,5.403,5.434,5.479,5.528,5.571,5.596,5.591,5.549,5.468,5.352,5.21,5.056,4.901,4.753,4.612,4.479,4.348,4.216,4.084,3.95,3.814,3.676,3.539,3.407,3.286,3.179,3.092,3.026,2.98,2.954,2.947,2.953,2.964,2.973,2.969,2.94,2.883,2.799,2.688,2.56,2.425,2.296,2.185,2.097,2.037,2.007,2.001,2.012,2.035,2.064,2.095,2.122,2.142,2.153
